sku_id,product_name,category,unit_cost_inr,unit_price_inr,lead_time_days,order_cost_inr,holding_rate,current_stock_units,on_order_units,annual_demand_units,avg_monthly_demand,std_monthly_demand,coefficient_of_variation,annual_consumption_value_inr,value_share,cumulative_value_share,abc_class,xyz_class,service_factor,safety_stock_units,reorder_point_units,eoq_units,inventory_position_units,recommended_order_units,risk_status,excess_units,potential_release_inr
SKU-026,Hand Wash 250 ml,Personal Care,75.19,122.16,14,950,0.24,238,0,3729,310.75,287.30538867838237,0.9245547503729119,280383.51,0.015195488265304273,0.9217320552809755,B,Y,1.65,324,470,627,238,859,Reorder now,0,0.0
SKU-035,Air Freshener 250 ml,Home Care,85.86,122.38,18,1100,0.24,846,199,2987,248.91666666666666,221.25076613460917,0.8888547685354236,256463.82,0.01389915179849595,0.9356312070794714,B,Y,1.65,283,433,565,1045,0,Healthy,0,0.0
SKU-016,Salted Crackers 100 g,Snacks,56.33,87.01,7,800,0.24,32,0,4085,340.4166666666667,149.91055413954098,0.44037372085054877,230108.05,0.012470791073009425,0.9481019981524809,B,X,1.65,120,200,696,32,864,Stockout risk,0,0.0
SKU-007,Orange Drink 200 ml,Beverages,44.19,72.04,5,650,0.24,685,329,4929,410.75,153.8264222486442,0.374501332315628,217812.50999999998,0.01180442972463491,0.9599064278771158,C,X,1.28,81,150,778,1014,0,Healthy,0,0.0
SKU-008,Coconut Water 200 ml,Beverages,47.98,71.83,7,650,0.24,137,0,3077,256.4166666666667,396.7922420276552,1.5474510576314144,147634.46,0.008001104289209209,0.967907532166325,C,Z,1.28,246,306,590,137,759,Reorder now,0,0.0
SKU-036,Kitchen Towels 2 roll,Home Care,89.45,130.22,21,1100,0.24,206,0,1649,137.41666666666666,84.64413026240383,0.6159669879617017,147503.05000000002,0.007993982475544264,0.9759015146418692,C,Y,1.28,91,188,412,206,0,Monitor,0,0.0
SKU-017,Trail Mix 80 g,Snacks,62.55,99.92,10,800,0.24,602,0,2306,192.16666666666666,119.78301088622584,0.6233287643689116,144240.3,0.007817156529761568,0.9837186711716308,C,Y,1.28,89,154,496,602,0,Healthy,17,1063.35
SKU-027,Hair Oil 200 ml,Personal Care,77.2,107.15,18,950,0.24,685,0,1712,142.66666666666666,106.48032966731746,0.7463574509391412,132166.4,0.007162807043351125,0.990881478214982,C,Y,1.28,106,192,420,685,0,Healthy,159,12274.8
SKU-009,Soda Water 750 ml,Beverages,55.21,77.92,10,650,0.24,610,0,1614,134.5,128.39109286579318,0.9545806161025515,89108.94,0.004829292036838053,0.99571077025182,C,Y,1.28,95,140,398,610,0,Healthy,117,6459.57
SKU-018,Chocolate Wafer 40 g,Snacks,64.66,88.24,14,800,0.24,129,0,1224,102,79.5772923298189,0.7801695326452833,79143.84,0.00428922974817998,1.0,C,Y,1.28,70,118,356,129,0,Monitor,0,0.0
