month,sku_id,demand_units
2025-06-01,SKU-003,1805
2025-07-01,SKU-003,1259
2025-08-01,SKU-003,1353
2025-09-01,SKU-003,1373
2025-10-01,SKU-003,1428
2025-11-01,SKU-003,1446
2025-12-01,SKU-003,1285
2024-01-01,SKU-004,1089
2024-02-01,SKU-004,992
2024-03-01,SKU-004,990
2024-04-01,SKU-004,1475
2024-05-01,SKU-004,1351
2024-06-01,SKU-004,1280
2024-07-01,SKU-004,1078
2024-08-01,SKU-004,1051
2024-09-01,SKU-004,1125
2024-10-01,SKU-004,1023
2024-11-01,SKU-004,1122
2024-12-01,SKU-004,1098
2025-01-01,SKU-004,988
2025-02-01,SKU-004,1026
2025-03-01,SKU-004,1099
2025-04-01,SKU-004,1355
2025-05-01,SKU-004,1423
2025-06-01,SKU-004,1292
2025-07-01,SKU-004,1106
2025-08-01,SKU-004,1022
2025-09-01,SKU-004,1009
2025-10-01,SKU-004,1060
2025-11-01,SKU-004,988
2025-12-01,SKU-004,996
2024-01-01,SKU-005,1073
2024-02-01,SKU-005,814
2024-03-01,SKU-005,461
2024-04-01,SKU-005,1059
2024-05-01,SKU-005,884
2024-06-01,SKU-005,908
2024-07-01,SKU-005,469
2024-08-01,SKU-005,815
2024-09-01,SKU-005,1156
2024-10-01,SKU-005,1000
2024-11-01,SKU-005,741
2024-12-01,SKU-005,637
2025-01-01,SKU-005,970
2025-02-01,SKU-005,875
2025-03-01,SKU-005,564
2025-04-01,SKU-005,708
2025-05-01,SKU-005,1265
2025-06-01,SKU-005,1244
2025-07-01,SKU-005,647
2025-08-01,SKU-005,732
2025-09-01,SKU-005,469
2025-10-01,SKU-005,768
2025-11-01,SKU-005,761
2025-12-01,SKU-005,669
2024-01-01,SKU-006,753
2024-02-01,SKU-006,539
2024-03-01,SKU-006,673
2024-04-01,SKU-006,587
2024-05-01,SKU-006,867
2024-06-01,SKU-006,959
2024-07-01,SKU-006,502
2024-08-01,SKU-006,858
2024-09-01,SKU-006,554
2024-10-01,SKU-006,505
2024-11-01,SKU-006,451
2024-12-01,SKU-006,810
2025-01-01,SKU-006,659
2025-02-01,SKU-006,592
2025-03-01,SKU-006,788
2025-04-01,SKU-006,781
2025-05-01,SKU-006,1016
2025-06-01,SKU-006,643
2025-07-01,SKU-006,635
2025-08-01,SKU-006,490
2025-09-01,SKU-006,730
2025-10-01,SKU-006,102
2025-11-01,SKU-006,602
2025-12-01,SKU-006,456
2024-01-01,SKU-007,334
2024-02-01,SKU-007,271
2024-03-01,SKU-007,369
2024-04-01,SKU-007,513
2024-05-01,SKU-007,505
2024-06-01,SKU-007,298
2024-07-01,SKU-007,406
2024-08-01,SKU-007,414
2024-09-01,SKU-007,602
2024-10-01,SKU-007,357
2024-11-01,SKU-007,434
2024-12-01,SKU-007,374
2025-01-01,SKU-007,453
2025-02-01,SKU-007,293
2025-03-01,SKU-007,447
2025-04-01,SKU-007,356
2025-05-01,SKU-007,233
2025-06-01,SKU-007,704
2025-07-01,SKU-007,278
2025-08-01,SKU-007,600
2025-09-01,SKU-007,380
2025-10-01,SKU-007,317
2025-11-01,SKU-007,605
2025-12-01,SKU-007,263
2024-01-01,SKU-008,357
2024-02-01,SKU-008,53
2024-03-01,SKU-008,13
2024-04-01,SKU-008,106
2024-05-01,SKU-008,8
2024-06-01,SKU-008,8
2024-07-01,SKU-008,282
2024-08-01,SKU-008,140
2024-09-01,SKU-008,8
2024-10-01,SKU-008,291
2024-11-01,SKU-008,60
2024-12-01,SKU-008,102
2025-01-01,SKU-008,69
2025-02-01,SKU-008,81
2025-03-01,SKU-008,159
2025-04-01,SKU-008,26
2025-05-01,SKU-008,1255
2025-06-01,SKU-008,166
2025-07-01,SKU-008,905
2025-08-01,SKU-008,67
2025-09-01,SKU-008,8
2025-10-01,SKU-008,224
2025-11-01,SKU-008,44
2025-12-01,SKU-008,73
2024-01-01,SKU-009,311
2024-02-01,SKU-009,219
2024-03-01,SKU-009,64
2024-04-01,SKU-009,161
2024-05-01,SKU-009,430
2024-06-01,SKU-009,65
2024-07-01,SKU-009,50
2024-08-01,SKU-009,39
2024-09-01,SKU-009,35
2024-10-01,SKU-009,369
2024-11-01,SKU-009,18
2024-12-01,SKU-009,31
2025-01-01,SKU-009,19
2025-02-01,SKU-009,85
2025-03-01,SKU-009,175
2025-04-01,SKU-009,78
2025-05-01,SKU-009,495
2025-06-01,SKU-009,57
2025-07-01,SKU-009,100
2025-08-01,SKU-009,137
2025-09-01,SKU-009,192
2025-10-01,SKU-009,88
2025-11-01,SKU-009,8
2025-12-01,SKU-009,180
2024-01-01,SKU-010,2092
2024-02-01,SKU-010,2190
2024-03-01,SKU-010,1917
2024-04-01,SKU-010,2039
2024-05-01,SKU-010,2127
2024-06-01,SKU-010,2199
2024-07-01,SKU-010,1986
2024-08-01,SKU-010,2116
2024-09-01,SKU-010,1872
2024-10-01,SKU-010,2434
2024-11-01,SKU-010,2212
2024-12-01,SKU-010,1964
2025-01-01,SKU-010,2094
2025-02-01,SKU-010,2198
2025-03-01,SKU-010,2269
2025-04-01,SKU-010,2135
2025-05-01,SKU-010,2061
2025-06-01,SKU-010,1963
2025-07-01,SKU-010,1751
2025-08-01,SKU-010,1787
2025-09-01,SKU-010,2104
2025-10-01,SKU-010,2794
2025-11-01,SKU-010,2303
2025-12-01,SKU-010,2027
2024-01-01,SKU-011,1595
2024-02-01,SKU-011,1830
2024-03-01,SKU-011,1425
2024-04-01,SKU-011,1548
2024-05-01,SKU-011,1549
2024-06-01,SKU-011,1569
2024-07-01,SKU-011,1880
2024-08-01,SKU-011,1747
2024-09-01,SKU-011,1537
2024-10-01,SKU-011,2239
2024-11-01,SKU-011,2046
2024-12-01,SKU-011,1681
2025-01-01,SKU-011,1828
2025-02-01,SKU-011,1512
2025-03-01,SKU-011,1817
2025-04-01,SKU-011,1755
2025-05-01,SKU-011,1738
2025-06-01,SKU-011,1461
2025-07-01,SKU-011,1633
2025-08-01,SKU-011,1545
2025-09-01,SKU-011,1417
2025-10-01,SKU-011,2023
2025-11-01,SKU-011,1920
2025-12-01,SKU-011,1619
2024-01-01,SKU-012,1387
2024-02-01,SKU-012,1404
2024-03-01,SKU-012,1472
2024-04-01,SKU-012,1508
2024-05-01,SKU-012,1285
2024-06-01,SKU-012,1624
2024-07-01,SKU-012,1370
2024-08-01,SKU-012,1248
2024-09-01,SKU-012,1392
2024-10-01,SKU-012,1820
2024-11-01,SKU-012,1438
2024-12-01,SKU-012,1451
2025-01-01,SKU-012,1316
2025-02-01,SKU-012,1202
2025-03-01,SKU-012,1280
2025-04-01,SKU-012,1186
2025-05-01,SKU-012,1271
2025-06-01,SKU-012,1301
2025-07-01,SKU-012,1411
2025-08-01,SKU-012,1178
2025-09-01,SKU-012,1428
2025-10-01,SKU-012,1636
2025-11-01,SKU-012,1604
2025-12-01,SKU-012,1453
2024-01-01,SKU-013,1118
2024-02-01,SKU-013,1166
2024-03-01,SKU-013,1030
2024-04-01,SKU-013,1059
2024-05-01,SKU-013,826
2024-06-01,SKU-013,950
2024-07-01,SKU-013,880
2024-08-01,SKU-013,1148
2024-09-01,SKU-013,960
2024-10-01,SKU-013,1110
2024-11-01,SKU-013,1240
2024-12-01,SKU-013,1084
2025-01-01,SKU-013,1021
2025-02-01,SKU-013,991
2025-03-01,SKU-013,1040
2025-04-01,SKU-013,1041
2025-05-01,SKU-013,1122
2025-06-01,SKU-013,1004
2025-07-01,SKU-013,1192
2025-08-01,SKU-013,991
2025-09-01,SKU-013,1176
2025-10-01,SKU-013,1056
2025-11-01,SKU-013,1381
2025-12-01,SKU-013,1101
2024-01-01,SKU-014,992
2024-02-01,SKU-014,652
2024-03-01,SKU-014,668
2024-04-01,SKU-014,685
2024-05-01,SKU-014,749
2024-06-01,SKU-014,996
2024-07-01,SKU-014,666
2024-08-01,SKU-014,1111
2024-09-01,SKU-014,1116
2024-10-01,SKU-014,797
2024-11-01,SKU-014,1374
2024-12-01,SKU-014,811
2025-01-01,SKU-014,650
2025-02-01,SKU-014,921
2025-03-01,SKU-014,833
2025-04-01,SKU-014,933
2025-05-01,SKU-014,1038
2025-06-01,SKU-014,724
2025-07-01,SKU-014,805
2025-08-01,SKU-014,748
2025-09-01,SKU-014,934
2025-10-01,SKU-014,582
2025-11-01,SKU-014,1241
2025-12-01,SKU-014,598
2024-01-01,SKU-015,783
2024-02-01,SKU-015,109
2024-03-01,SKU-015,498
2024-04-01,SKU-015,737
2024-05-01,SKU-015,585
2024-06-01,SKU-015,205
2024-07-01,SKU-015,581
2024-08-01,SKU-015,489
2024-09-01,SKU-015,750
2024-10-01,SKU-015,709
2024-11-01,SKU-015,392
2024-12-01,SKU-015,688
2025-01-01,SKU-015,368
2025-02-01,SKU-015,543
2025-03-01,SKU-015,549
2025-04-01,SKU-015,633
2025-05-01,SKU-015,453
2025-06-01,SKU-015,717
2025-07-01,SKU-015,314
2025-08-01,SKU-015,470
2025-09-01,SKU-015,366
2025-10-01,SKU-015,465
2025-11-01,SKU-015,438
2025-12-01,SKU-015,668
2024-01-01,SKU-016,411
2024-02-01,SKU-016,315
2024-03-01,SKU-016,283
2024-04-01,SKU-016,355
2024-05-01,SKU-016,364
2024-06-01,SKU-016,324
2024-07-01,SKU-016,338
2024-08-01,SKU-016,350
2024-09-01,SKU-016,439
2024-10-01,SKU-016,416
2024-11-01,SKU-016,337
2024-12-01,SKU-016,489
2025-01-01,SKU-016,383
2025-02-01,SKU-016,155
2025-03-01,SKU-016,444
2025-04-01,SKU-016,421
2025-05-01,SKU-016,189
2025-06-01,SKU-016,359
2025-07-01,SKU-016,640
2025-08-01,SKU-016,383
2025-09-01,SKU-016,132
2025-10-01,SKU-016,395
2025-11-01,SKU-016,410
2025-12-01,SKU-016,174
2024-01-01,SKU-017,1084
2024-02-01,SKU-017,156
2024-03-01,SKU-017,60
2024-04-01,SKU-017,75
2024-05-01,SKU-017,131
2024-06-01,SKU-017,464
2024-07-01,SKU-017,23
2024-08-01,SKU-017,165
2024-09-01,SKU-017,8
2024-10-01,SKU-017,113
2024-11-01,SKU-017,244
2024-12-01,SKU-017,52
2025-01-01,SKU-017,55
2025-02-01,SKU-017,153
2025-03-01,SKU-017,106
2025-04-01,SKU-017,292
2025-05-01,SKU-017,404
2025-06-01,SKU-017,295
2025-07-01,SKU-017,175
2025-08-01,SKU-017,363
2025-09-01,SKU-017,28
2025-10-01,SKU-017,129
2025-11-01,SKU-017,129
2025-12-01,SKU-017,177
2024-01-01,SKU-018,720
2024-02-01,SKU-018,136
2024-03-01,SKU-018,501
2024-04-01,SKU-018,94
2024-05-01,SKU-018,160
2024-06-01,SKU-018,272
2024-07-01,SKU-018,388
2024-08-01,SKU-018,224
2024-09-01,SKU-018,22
2024-10-01,SKU-018,66
2024-11-01,SKU-018,169
2024-12-01,SKU-018,357
2025-01-01,SKU-018,71
2025-02-01,SKU-018,19
2025-03-01,SKU-018,15
2025-04-01,SKU-018,32
2025-05-01,SKU-018,124
2025-06-01,SKU-018,106
2025-07-01,SKU-018,218
2025-08-01,SKU-018,8
2025-09-01,SKU-018,142
2025-10-01,SKU-018,79
2025-11-01,SKU-018,245
2025-12-01,SKU-018,165
2024-01-01,SKU-019,2080
2024-02-01,SKU-019,2245
2024-03-01,SKU-019,2045
2024-04-01,SKU-019,1896
2024-05-01,SKU-019,1703
2024-06-01,SKU-019,2085
2024-07-01,SKU-019,1921
2024-08-01,SKU-019,2168
2024-09-01,SKU-019,1991
2024-10-01,SKU-019,1988
2024-11-01,SKU-019,2466
2024-12-01,SKU-019,1841
2025-01-01,SKU-019,1961
2025-02-01,SKU-019,1874
2025-03-01,SKU-019,2074
2025-04-01,SKU-019,1987
2025-05-01,SKU-019,1996
2025-06-01,SKU-019,1973
2025-07-01,SKU-019,1820
2025-08-01,SKU-019,1957
2025-09-01,SKU-019,2045
2025-10-01,SKU-019,2048
2025-11-01,SKU-019,2160
2025-12-01,SKU-019,2101
2024-01-01,SKU-020,1841
2024-02-01,SKU-020,1749
2024-03-01,SKU-020,1711
2024-04-01,SKU-020,1656
2024-05-01,SKU-020,1642
2024-06-01,SKU-020,1666
2024-07-01,SKU-020,1419
2024-08-01,SKU-020,1792
2024-09-01,SKU-020,1582
2024-10-01,SKU-020,1641
2024-11-01,SKU-020,1487
2024-12-01,SKU-020,1462
2025-01-01,SKU-020,1582
2025-02-01,SKU-020,1742
2025-03-01,SKU-020,1557
2025-04-01,SKU-020,1759
2025-05-01,SKU-020,1650
2025-06-01,SKU-020,1516
2025-07-01,SKU-020,1600
2025-08-01,SKU-020,1720
2025-09-01,SKU-020,1831
2025-10-01,SKU-020,1856
2025-11-01,SKU-020,1539
2025-12-01,SKU-020,1761
2024-01-01,SKU-021,1368
2024-02-01,SKU-021,1379
2024-03-01,SKU-021,1342
2024-04-01,SKU-021,1408
2024-05-01,SKU-021,1402
2024-06-01,SKU-021,1324
2024-07-01,SKU-021,1470
2024-08-01,SKU-021,1335
2024-09-01,SKU-021,1431
2024-10-01,SKU-021,1513
2024-11-01,SKU-021,1500
2024-12-01,SKU-021,1203
2025-01-01,SKU-021,1368
2025-02-01,SKU-021,1466
2025-03-01,SKU-021,1418
2025-04-01,SKU-021,1348
2025-05-01,SKU-021,1294
2025-06-01,SKU-021,1322
2025-07-01,SKU-021,1318
2025-08-01,SKU-021,1347
2025-09-01,SKU-021,1277
2025-10-01,SKU-021,1332
2025-11-01,SKU-021,1432
2025-12-01,SKU-021,1269
2024-01-01,SKU-022,1115
2024-02-01,SKU-022,1066
2024-03-01,SKU-022,1222
2024-04-01,SKU-022,1194
2024-05-01,SKU-022,1187
2024-06-01,SKU-022,1138
2024-07-01,SKU-022,978
2024-08-01,SKU-022,1048
2024-09-01,SKU-022,1144
2024-10-01,SKU-022,1012
2024-11-01,SKU-022,985
2024-12-01,SKU-022,952
2025-01-01,SKU-022,974
2025-02-01,SKU-022,1014
2025-03-01,SKU-022,1218
2025-04-01,SKU-022,983
2025-05-01,SKU-022,1005
2025-06-01,SKU-022,1032
2025-07-01,SKU-022,1072
2025-08-01,SKU-022,1072
2025-09-01,SKU-022,1038
2025-10-01,SKU-022,1024
2025-11-01,SKU-022,1286
2025-12-01,SKU-022,965
2024-01-01,SKU-023,871
2024-02-01,SKU-023,607
2024-03-01,SKU-023,596
2024-04-01,SKU-023,651
2024-05-01,SKU-023,864
2024-06-01,SKU-023,670
2024-07-01,SKU-023,438
2024-08-01,SKU-023,1041
2024-09-01,SKU-023,634
2024-10-01,SKU-023,1134
2024-11-01,SKU-023,747
2024-12-01,SKU-023,1058
2025-01-01,SKU-023,1005
2025-02-01,SKU-023,458
2025-03-01,SKU-023,478
2025-04-01,SKU-023,763
2025-05-01,SKU-023,859
2025-06-01,SKU-023,878
2025-07-01,SKU-023,344
2025-08-01,SKU-023,503
2025-09-01,SKU-023,1085
2025-10-01,SKU-023,442
2025-11-01,SKU-023,756
2025-12-01,SKU-023,755
2024-01-01,SKU-024,644
2024-02-01,SKU-024,540
2024-03-01,SKU-024,411
2024-04-01,SKU-024,609
2024-05-01,SKU-024,569
2024-06-01,SKU-024,650
2024-07-01,SKU-024,544
2024-08-01,SKU-024,654
2024-09-01,SKU-024,655
2024-10-01,SKU-024,452
2024-11-01,SKU-024,221
2024-12-01,SKU-024,662
2025-01-01,SKU-024,749
2025-02-01,SKU-024,684
2025-03-01,SKU-024,685
2025-04-01,SKU-024,575
2025-05-01,SKU-024,682
2025-06-01,SKU-024,702
2025-07-01,SKU-024,546
2025-08-01,SKU-024,351
2025-09-01,SKU-024,580
2025-10-01,SKU-024,814
2025-11-01,SKU-024,531
2025-12-01,SKU-024,167
2024-01-01,SKU-025,381
2024-02-01,SKU-025,380
2024-03-01,SKU-025,559
2024-04-01,SKU-025,290
2024-05-01,SKU-025,359
2024-06-01,SKU-025,383
2024-07-01,SKU-025,315
2024-08-01,SKU-025,410
2024-09-01,SKU-025,494
2024-10-01,SKU-025,407
2024-11-01,SKU-025,428
2024-12-01,SKU-025,583
2025-01-01,SKU-025,289
2025-02-01,SKU-025,263
2025-03-01,SKU-025,365
2025-04-01,SKU-025,454
2025-05-01,SKU-025,402
2025-06-01,SKU-025,533
2025-07-01,SKU-025,429
2025-08-01,SKU-025,342
2025-09-01,SKU-025,251
2025-10-01,SKU-025,382
2025-11-01,SKU-025,380
2025-12-01,SKU-025,258
2024-01-01,SKU-026,346
2024-02-01,SKU-026,507
2024-03-01,SKU-026,401
2024-04-01,SKU-026,143
2024-05-01,SKU-026,286
2024-06-01,SKU-026,8
2024-07-01,SKU-026,117
2024-08-01,SKU-026,616
2024-09-01,SKU-026,135
2024-10-01,SKU-026,427
2024-11-01,SKU-026,411
2024-12-01,SKU-026,52
2025-01-01,SKU-026,162
2025-02-01,SKU-026,49
2025-03-01,SKU-026,665
2025-04-01,SKU-026,646
2025-05-01,SKU-026,85
2025-06-01,SKU-026,16
2025-07-01,SKU-026,95
2025-08-01,SKU-026,550
2025-09-01,SKU-026,87
2025-10-01,SKU-026,519
2025-11-01,SKU-026,757
2025-12-01,SKU-026,98
2024-01-01,SKU-027,92
2024-02-01,SKU-027,513
2024-03-01,SKU-027,28
2024-04-01,SKU-027,34
2024-05-01,SKU-027,8
2024-06-01,SKU-027,646
2024-07-01,SKU-027,103
2024-08-01,SKU-027,92
2024-09-01,SKU-027,562
2024-10-01,SKU-027,129
2024-11-01,SKU-027,176
2024-12-01,SKU-027,592
2025-01-01,SKU-027,172
2025-02-01,SKU-027,80
2025-03-01,SKU-027,64
2025-04-01,SKU-027,357
2025-05-01,SKU-027,168
2025-06-01,SKU-027,59
2025-07-01,SKU-027,49
2025-08-01,SKU-027,40
2025-09-01,SKU-027,342
2025-10-01,SKU-027,115
2025-11-01,SKU-027,124
2025-12-01,SKU-027,142
2024-01-01,SKU-028,2090
2024-02-01,SKU-028,2251
2024-03-01,SKU-028,1860
2024-04-01,SKU-028,2211
2024-05-01,SKU-028,1852
2024-06-01,SKU-028,1964
2024-07-01,SKU-028,2226
2024-08-01,SKU-028,2355
2024-09-01,SKU-028,1713
2024-10-01,SKU-028,1923
2024-11-01,SKU-028,2239
2024-12-01,SKU-028,2078
2025-01-01,SKU-028,1785
2025-02-01,SKU-028,2072
2025-03-01,SKU-028,1927
2025-04-01,SKU-028,2442
2025-05-01,SKU-028,1941
2025-06-01,SKU-028,1747
2025-07-01,SKU-028,2139
2025-08-01,SKU-028,2009
2025-09-01,SKU-028,2095
2025-10-01,SKU-028,1900
2025-11-01,SKU-028,2122
2025-12-01,SKU-028,1883
2024-01-01,SKU-029,1635
2024-02-01,SKU-029,1719
2024-03-01,SKU-029,1741
2024-04-01,SKU-029,1771
2024-05-01,SKU-029,1861
2024-06-01,SKU-029,1872
2024-07-01,SKU-029,1752
2024-08-01,SKU-029,1857
2024-09-01,SKU-029,1900
2024-10-01,SKU-029,1648
2024-11-01,SKU-029,1692
2024-12-01,SKU-029,1892
2025-01-01,SKU-029,1998
2025-02-01,SKU-029,1663
2025-03-01,SKU-029,1531
2025-04-01,SKU-029,1712
2025-05-01,SKU-029,1559
2025-06-01,SKU-029,1592
2025-07-01,SKU-029,2019
2025-08-01,SKU-029,1943
2025-09-01,SKU-029,1773
2025-10-01,SKU-029,1561
2025-11-01,SKU-029,1697
2025-12-01,SKU-029,1713
2024-01-01,SKU-030,1456
2024-02-01,SKU-030,1513
2024-03-01,SKU-030,1353
2024-04-01,SKU-030,1422
2024-05-01,SKU-030,1380
2024-06-01,SKU-030,1422
2024-07-01,SKU-030,1508
2024-08-01,SKU-030,1551
2024-09-01,SKU-030,1417
2024-10-01,SKU-030,1310
2024-11-01,SKU-030,1373
2024-12-01,SKU-030,1351
2025-01-01,SKU-030,1418
2025-02-01,SKU-030,1440
2025-03-01,SKU-030,1171
2025-04-01,SKU-030,1432
2025-05-01,SKU-030,1399
2025-06-01,SKU-030,1473
2025-07-01,SKU-030,1557
2025-08-01,SKU-030,1468
2025-09-01,SKU-030,1397
2025-10-01,SKU-030,1416
2025-11-01,SKU-030,1276
2025-12-01,SKU-030,1354
2024-01-01,SKU-031,1044
2024-02-01,SKU-031,993
2024-03-01,SKU-031,1184
2024-04-01,SKU-031,978
2024-05-01,SKU-031,1227
2024-06-01,SKU-031,1026
2024-07-01,SKU-031,1013
2024-08-01,SKU-031,1104
2024-09-01,SKU-031,1249
2024-10-01,SKU-031,994
2024-11-01,SKU-031,999
2024-12-01,SKU-031,1023
2025-01-01,SKU-031,1143
2025-02-01,SKU-031,1110
2025-03-01,SKU-031,1203
2025-04-01,SKU-031,1148
2025-05-01,SKU-031,1102
2025-06-01,SKU-031,1076
2025-07-01,SKU-031,1250
2025-08-01,SKU-031,1122
2025-09-01,SKU-031,1181
2025-10-01,SKU-031,1049
2025-11-01,SKU-031,1102
2025-12-01,SKU-031,1142
2024-01-01,SKU-032,1350
2024-02-01,SKU-032,953
2024-03-01,SKU-032,879
2024-04-01,SKU-032,930
2024-05-01,SKU-032,535
2024-06-01,SKU-032,1167
2024-07-01,SKU-032,1021
2024-08-01,SKU-032,1289
2024-09-01,SKU-032,933
2024-10-01,SKU-032,1034
2024-11-01,SKU-032,469
2024-12-01,SKU-032,1140
2025-01-01,SKU-032,710
2025-02-01,SKU-032,619
2025-03-01,SKU-032,1173
2025-04-01,SKU-032,617
2025-05-01,SKU-032,814
2025-06-01,SKU-032,785
2025-07-01,SKU-032,845
2025-08-01,SKU-032,1316
2025-09-01,SKU-032,1015
2025-10-01,SKU-032,831
2025-11-01,SKU-032,934
2025-12-01,SKU-032,300
2024-01-01,SKU-033,774
2024-02-01,SKU-033,476
2024-03-01,SKU-033,618
2024-04-01,SKU-033,380
2024-05-01,SKU-033,762
2024-06-01,SKU-033,440
2024-07-01,SKU-033,776
2024-08-01,SKU-033,820
2024-09-01,SKU-033,417
2024-10-01,SKU-033,755
2024-11-01,SKU-033,507
2024-12-01,SKU-033,535
2025-01-01,SKU-033,344
2025-02-01,SKU-033,748
2025-03-01,SKU-033,260
2025-04-01,SKU-033,604
2025-05-01,SKU-033,622
2025-06-01,SKU-033,552
2025-07-01,SKU-033,636
2025-08-01,SKU-033,655
2025-09-01,SKU-033,652
2025-10-01,SKU-033,578
2025-11-01,SKU-033,520
2025-12-01,SKU-033,451
2024-01-01,SKU-034,442
2024-02-01,SKU-034,407
2024-03-01,SKU-034,427
2024-04-01,SKU-034,480
2024-05-01,SKU-034,511
2024-06-01,SKU-034,489
2024-07-01,SKU-034,319
2024-08-01,SKU-034,710
2024-09-01,SKU-034,262
2024-10-01,SKU-034,287
2024-11-01,SKU-034,545
2024-12-01,SKU-034,261
2025-01-01,SKU-034,478
2025-02-01,SKU-034,382
2025-03-01,SKU-034,507
2025-04-01,SKU-034,660
2025-05-01,SKU-034,418
2025-06-01,SKU-034,427
2025-07-01,SKU-034,665
2025-08-01,SKU-034,604
2025-09-01,SKU-034,306
2025-10-01,SKU-034,313
2025-11-01,SKU-034,490
2025-12-01,SKU-034,580
2024-01-01,SKU-035,80
2024-02-01,SKU-035,329
2024-03-01,SKU-035,195
2024-04-01,SKU-035,70
2024-05-01,SKU-035,107
2024-06-01,SKU-035,212
2024-07-01,SKU-035,130
2024-08-01,SKU-035,123
2024-09-01,SKU-035,588
2024-10-01,SKU-035,82
2024-11-01,SKU-035,66
2024-12-01,SKU-035,357
2025-01-01,SKU-035,277
2025-02-01,SKU-035,857
2025-03-01,SKU-035,172
2025-04-01,SKU-035,395
2025-05-01,SKU-035,8
2025-06-01,SKU-035,72
2025-07-01,SKU-035,340
2025-08-01,SKU-035,210
2025-09-01,SKU-035,186
2025-10-01,SKU-035,222
2025-11-01,SKU-035,177
2025-12-01,SKU-035,71
2024-01-01,SKU-036,202
2024-02-01,SKU-036,328
2024-03-01,SKU-036,51
2024-04-01,SKU-036,59
2024-05-01,SKU-036,784
2024-06-01,SKU-036,543
2024-07-01,SKU-036,158
2024-08-01,SKU-036,8
2024-09-01,SKU-036,40
2024-10-01,SKU-036,64
2024-11-01,SKU-036,433
2024-12-01,SKU-036,8
2025-01-01,SKU-036,42
2025-02-01,SKU-036,316
2025-03-01,SKU-036,66
2025-04-01,SKU-036,70
2025-05-01,SKU-036,148
2025-06-01,SKU-036,155
2025-07-01,SKU-036,146
2025-08-01,SKU-036,72
2025-09-01,SKU-036,71
2025-10-01,SKU-036,255
2025-11-01,SKU-036,106
2025-12-01,SKU-036,202
